name,party,constituency,county,status,gender,image_local_path
"HON. WAMUCHOMBA, GATHONI",UDA,GITHUNGURI,KIAMBU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WAMUCHOMBA_GATHONI.webp
HON. WANGAYA CHRISTOPHER ASEKA,ODM,KHWISERO,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WANGAYA_CHRISTOPHER_ASEKA.webp
"HON. WANGWE, EMMANUEL",ODM,NAVAKHOLO,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WANGWE_EMMANUEL.webp
HON. WANJALA RAPHAEL BITTA SAUTI,ODM,BUDALANGI,BUSIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WANJALA_RAPHAEL_BITTA_SAUTI.webp
HON. WANJIKU JOHN NJUGUNA,UDA,KIAMBAA,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WANJIKU_JOHN_NJUGUNA.webp
"HON. WANJIRA, MARTHA WANGARI",UDA,GILGIL,NAKURU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WANJIRA_MARTHA_WANGARI.webp
HON. WANYONYI KEVIN FERDINAND,FORD-K,KWANZA,TRANS NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WANYONYI_KEVIN_FERDINAND.webp
HON. WANYONYI MARTIN PEPELA,FORD-K,WEBUYE EAST,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WANYONYI_MARTIN_PEPELA.webp
"HON. WAWERU, JOHN KIARIE",UDA,DAGORETTI SOUTH,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WAWERU_JOHN_KIARIE.webp
HON. WETANGULA TIMOTHY WANYONYI,ODM,WESTLANDS,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WETANGULA_TIMOTHY_WANYONYI.webp
HON. YEGON BRIGHTON LEONARD,UDA,KONOIN,BOMET,,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_YEGON_BRIGHTON_LEONARD.webp
"HON. YEGON, RICHARD KIPKEMOI",UDA,BOMET EAST,BOMET,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_YEGON_RICHARD_KIPKEMOI.webp
"HON. YUSSUF, ADAN HAJI",UDM,MANDERA WEST,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_YUSSUF_ADAN_HAJI.webp
HON. (CPA) KIMANI FRANCIS KURIA,UDA,MOLO,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HONCPA_KIMANI_FRANCIS_KURIA.webp
HON. KARITHO KIILI DANIEL,JP,IGEMBE CENTRAL,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HONKARITHO_KIILI_DANIEL.webp
HON. MBIUKI JAPHET MIRITI KAREKE,UDA,MAARA,THARAKA-NITHI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HONMBIUKI_JAPHET_MIRITI_KAREKE.webp
VACANT,,GARISSA TOWNSHIP,GARISSA,,,images/mps/VACANT.png
VACANT,,KANDARA,MURANGA,,,images/mps/VACANT_1.png
