County Code,County Name,Const. Code,Const. Name,CAW Code,CAW Name,Name,Political Party Name,Party Abbrev,image_url
30,Baringo,161,Mogotio,802,Mogotio,Mark Kimiring Sialo,United Democratic Alliance,UDA,9337
30,Baringo,161,Mogotio,803,Emining,Purity Jepkemoi Tallam,United Democratic Alliance,UDA,4501
30,Baringo,161,Mogotio,804,Kisanana,Jacob Kiprotich Cheboiwo,United Democratic Alliance,UDA,5724
30,Baringo,162,Eldama Ravine,805,Lembus,Benjamin Koech,United Democratic Alliance,UDA,4761
30,Baringo,162,Eldama Ravine,806,Lembus Kwen,Lawi Kipchumba Tallam,United Democratic Alliance,UDA,4528
30,Baringo,162,Eldama Ravine,807,Ravine,Julius Kimutai Ngotie,United Democratic Alliance,UDA,No Contest
30,Baringo,162,Eldama Ravine,808,Memberes Maji Mazuri,Solomon Kariuki Kuria,United Democratic Alliance,UDA,4005
30,Baringo,162,Eldama Ravine,809,Lembus Perkerra,Kennedy Benjamin Kiprono,United Democratic Alliance,UDA,5589
30,Baringo,162,Eldama Ravine,810,Koibateck,Robert Kiplagat Kipsang,United Democratic Alliance,UDA,3467
31,Laikipia,163,Laikipia West,811,Ol-Moran,George Karuiru Wairimu,United Democratic Alliance,UDA,3979
31,Laikipia,163,Laikipia West,812,Rumuruti Township,John Gichuki Maina,United Democratic Alliance,UDA,5584
31,Laikipia,163,Laikipia West,813,Githiga,Joseph Gitahi Macharia,United Democratic Alliance,UDA,6645
31,Laikipia,163,Laikipia West,814,Marmanet,Simon Kanyutu Kimani,Independent,IND,6638
31,Laikipia,163,Laikipia West,815,Igwamiti,Irene Wachuka John,United Democratic Alliance,UDA,8935
31,Laikipia,163,Laikipia West,816,Salama,Samuel Mugambi Gatati,The Service Party,TSP,2245
31,Laikipia,164,Laikipia East,817,Ngobit,Catherine Nyokabi Kibui,United Democratic Alliance,UDA,5069
31,Laikipia,164,Laikipia East,818,Tigithi,Nicholas Mwaniki Muturi,United Democratic Alliance,UDA,2952
31,Laikipia,164,Laikipia East,819,Thingithu,Stephen Ndiritu Kamau,United Democratic Alliance,UDA,5055
31,Laikipia,164,Laikipia East,820,Nanyuki,Anthony Theuri Wambui,United Democratic Alliance,UDA,11347
31,Laikipia,164,Laikipia East,821,Umande,Daniel Mugweru Muchemi,United Democratic Alliance,UDA,"5,120-"
31,Laikipia,165,Laikipia North,822,Sosian,Lekopien Sammy Parleto,Orange Democratic Movement,ODM,3592
31,Laikipia,165,Laikipia North,823,Segera,Salim Edung Lowaya,United Democratic Alliance,UDA,1500
31,Laikipia,165,Laikipia North,824,Mugogodo West,Lempaira  Korkole Nicholas,Orange Democratic Movement,ODM,1340
31,Laikipia,165,Laikipia North,825,Mugogodo East,Paul Kirenyi Leshuel,Independent,IND,2198
32,Nakuru,166,Molo,826,Marioshoni,Bernard Kipngetich Langat,United Democratic Alliance,UDA,3919
32,Nakuru,166,Molo,827,Elburgon,Njuguna Mwaura,Independent,IND,7289
32,Nakuru,166,Molo,828,Turi,John Mwangi Macharia,Jubilee Party,JP,5273
32,Nakuru,166,Molo,829,Molo,Joseph Ngware Nganga,United Democratic Alliance,UDA,7184
32,Nakuru,167,Njoro,830,Mau Narok,Cyrus Dida Ndegwa,United Democratic Alliance,UDA,5415
32,Nakuru,167,Njoro,831,Mauche,Moses Ngeny Koros,United Democratic Alliance,UDA,9962
32,Nakuru,167,Njoro,832,Kihingo,Simon Kamau Karanja,Jubilee Party,JP,2835
32,Nakuru,167,Njoro,833,Nessuit,Samwel Kipkemoi Tonui,United Democratic Alliance,UDA,4286
32,Nakuru,167,Njoro,834,Lare,Philip Wanjohi Ndiritu,Jubilee Party,JP,6953
32,Nakuru,167,Njoro,835,Njoro,Ezekiah Kung’u Kariuki Hezy,Independent,IND,6028
32,Nakuru,168,Naivasha,836,Biashara,Elijah Mwaura Macharia,United Democractic Alliance,UDA,4424
32,Nakuru,168,Naivasha,837,Hells Gate,Viginia Wamaitha Gicanga,Jubilee Party,JP,10175
32,Nakuru,168,Naivasha,838,Lakeview,Alex Ndungu Mbugua,United Democractic Alliance,UDA,4654
32,Nakuru,168,Naivasha,839,Mai Mahiu,Eliud Kamau Chege,United Democractic Alliance,UDA,6518
32,Nakuru,168,Naivasha,840,Maiella,Jane Wanjiru Gituku,United Democratic Alliance,UDA,6717
32,Nakuru,168,Naivasha,841,Olkaria,Peter Wanjala M. Palanga,Orange Democratic Movement,ODM,3439
32,Nakuru,168,Naivasha,842,Naivasha East,Stanley Karanja,United Democractic Alliance,UDA,4165
32,Nakuru,168,Naivasha,843,Viwandani,Joseph Mwangi Muraya,United Democractic Alliance,UDA,6148
32,Nakuru,169,Gilgil,844,Gilgil,Rose Gathoni Njoroge,United Democratic Alliance,UDA,5873
32,Nakuru,169,Gilgil,845,Elementaita,George Wang’ang’a Nene,Safina Party,SAFINA,4310
32,Nakuru,169,Gilgil,846,Mbaruk/Eburu,Michael Gathanwa Ngigi,United Democratic Alliance,UDA,4614
32,Nakuru,169,Gilgil,847,Malewa West,Francis Mungai Kuria,United Democratic Alliance,UDA,3355
32,Nakuru,169,Gilgil,848,Murindati,Peter Njoroge Maina,United Democratic Alliance,UDA,5712
32,Nakuru,170,Kuresoi South,849,Amalo,Robert Kipyegon Langat,United Democratic Alliance,UDA,7200
32,Nakuru,170,Kuresoi South,850,Keringet,William Mutai,United Democratic Alliance,UDA,10552
32,Nakuru,170,Kuresoi South,851,Kiptagich,Rose Chepkoech,United Democratic Alliance,UDA,6833
32,Nakuru,170,Kuresoi South,852,Tinet,Paul Kipkorir Lang 'at,United Democratic Alliance,UDA,6221
32,Nakuru,171,Kuresoi North,853,Kiptororo,Alex Bor,United Democratic Allinace,UDA,5511
32,Nakuru,171,Kuresoi North,854,Nyota,Wesley Kipkurui Langat,United Democratic Allianace,UDA,8782
32,Nakuru,171,Kuresoi North,855,Sirikwa,Emmanuel Langat,United Democratic Alliance,UDA,4121
32,Nakuru,171,Kuresoi North,856,Kamara,John Kipngetich Maritim,United Democratic Alliance,UDA,5990
32,Nakuru,172,Subukia,857,Subukia,Isabella Kerubo Makori,United Democratic Alliance,UDA,8308
32,Nakuru,172,Subukia,858,Waseges,Elijah Mwangi Murage,Idependent,IND,4525
32,Nakuru,172,Subukia,859,Kabazi,George Cheruiyot Tallam,United Democratic Alliance,UDA,5672
32,Nakuru,173,Rongai,860,Menengai West,Isaac Kiptisya Rottok,United Democratic Alliance,UDA,5127
32,Nakuru,173,Rongai,861,Soin,Degaulle Elibas Naburuki,United Democratic Alliance,UDA,5701
32,Nakuru,173,Rongai,862,Visoi,Chemutai Hellen Megek,United Democratic Alliance,UDA,5938
32,Nakuru,173,Rongai,863,Mosop,Alex Kipkoech Arap Langat,United Democratic Alliance,UDA,4524
32,Nakuru,173,Rongai,864,Solai,Nixon Kiprotich Morogo,Independent,Independent,3661
32,Nakuru,174,Bahati,865,Dundori,James Gathuita Mwangi,United Democractic Alliance,UDA,5953
32,Nakuru,174,Bahati,866,Kabatini,Leah Wambui Ng’ang’a,Independent,IND,4204
32,Nakuru,174,Bahati,867,Kiamaina,Paul Waweru Warege,United Democractic Alliance,UDA,7315
32,Nakuru,174,Bahati,868,Lanet/Umoja,Samuel Mwangi Kamau Ngarama,United Democractic Alliance,UDA,4312
32,Nakuru,174,Bahati,869,Bahati,Grace Wambui Mwathi,United Democractic Alliance,UDA,7143
32,Nakuru,175,Nakuru Town West,870,Barut,Benard Kiprotich Kirui,United Democratic Alliance,UDA,2510
32,Nakuru,175,Nakuru Town West,O871,London,Benard Maina Kariuki Gatuso,Jubilee Party,JP,5372
32,Nakuru,175,Nakuru Town West,872,Kaptembwo,Peter Mwamba Kajwang,Orange Democratic Movement,ODM,5989
32,Nakuru,175,Nakuru Town West,873,Kapkures,Robert Kiplangat Rutto,United Democratic Alliance,UDA,3775
32,Nakuru,175,Nakuru Town West,874,Rhoda,John Macharia Gachiri,United Democratic Alliance,UDA,2704
32,Nakuru,175,Nakuru Town West,875,Shaabab,David Wathiai Macharia,United Democratic Alliance,UDA,5876
32,Nakuru,176,Nakuru Town East,876,Biashara,Hamisi Msuri Fadhili,United Democratic Alliance,UDA,7220
32,Nakuru,176,Nakuru Town East,877,Kivumbini,Neto Sakwa Alukutsa,Independent,IND,2885
32,Nakuru,176,Nakuru Town East,878,Flamingo,David Kihumba Muraya,Independent,IND,4090
32,Nakuru,176,Nakuru Town East,789,Menengai,Wajeff Wilson Mwangi Wachira,Jubilee Party,JP,6410
