name,party,constituency,county,status,gender,image_local_path,start_date,end_date
EVE AKINYI OBARA,ODM,KABONDO KASIPUL,HOMA BAY,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OBARA_EVE_AKINYI.webp,2022,
INNOCENT OBIRI MOMANYI,WDM,BOBASI,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OBIRI_INNOCENT_MOMANYI.webp,2022,
RUWEIDA MOHAMED OBO,JP,LAMU EAST,LAMU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OBO_RUWEIDA_MOHAMED.webp,2022,
DAVID OUMA OCHIENG,MDG,UGENYA,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OCHIENG_DAVID_OUMA.jpeg,2022,
GEOFFREY MAKOKHA ODANGA,ODM,MATAYOS,BUSIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ODANGA_GEOFFREY_MAKOKHA.webp,2022,
TOM MBOYA ODEGE,ODM,NYATIKE,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ODEGE_TOM_MBOYA.webp,2022,
ELISHA OCHIENG ODHIAMBO,ODM,GEM,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ODHIAMBO_ELISHA_OCHIENG.webp,2022,
MILLIE GRACE AKOTH ODHIAMBO,ODM,SUBA NORTH,HOMA BAY,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ODHIAMBO_MILLIE_GRACE_AKOTH.webp,2022,
GIDEON OCHANDA OGOLLA,ODM,BONDO,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OGOLLA_GIDEON_OCHANDA.webp,2022,
OKELLO JARED ODOYO,ODM,NYANDO,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OKELO_JARED_ODOYO.webp,2022,
ANDREW ADIPO OKUOME,ODM,KARACHUONYO,HOMA BAY,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_OKUOME_ADIPO_ANDREW.webp,2022,
